dette_2014,Pop2014,partis.2014_Indefini,partis.2014_Gauche,partis.2014_Droite,partis.2014_Centre
0.0,350.0,0,0,1,0
722000.0,8297.0,0,0,1,0
209000.0,471.0,0,0,1,0
293000.0,1207.0,0,0,1,0
324000.0,495.0,1,0,0,0
3000.0,906.0,1,0,0,0
21000.0,897.0,1,0,0,0
22381000.0,17606.0,0,1,0,0
1000.0,345.0,0,0,1,0
252000.0,534.0,1,0,0,0
22273000.0,9741.0,0,0,1,0
3448000.0,1693.0,0,0,1,0
1353000.0,1457.0,0,0,1,0
3317000.0,2990.0,0,0,1,0
709000.0,5846.0,0,1,0,0
6727000.0,5799.0,0,0,1,0
86000.0,462.0,1,0,0,0
2938000.0,2990.0,0,1,0,0
13398000.0,15523.0,0,1,0,0
0.0,1854.0,0,0,1,0
76000.0,354.0,1,0,0,0
686000.0,2126.0,0,0,1,0
280000.0,865.0,0,0,0,1
3620000.0,6543.0,0,1,0,0
36101000.0,20196.0,0,0,1,0
87000.0,495.0,1,0,0,0
1524000.0,1422.0,0,0,1,0
1489000.0,2862.0,0,0,0,1
41619000.0,38135.0,0,1,0,0
1288000.0,2103.0,0,1,0,0
362000.0,802.0,1,0,0,0
3931000.0,5132.0,0,1,0,0
2829000.0,2230.0,0,0,0,1
12605000.0,22954.0,0,0,1,0
4631000.0,2864.0,0,0,1,0
164000.0,124.0,1,0,0,0
457000.0,706.0,1,0,0,0
1006000.0,1937.0,0,1,0,0
18774000.0,13974.0,0,0,1,0
1858000.0,2813.0,0,1,0,0
11837000.0,5514.0,0,0,1,0
323000.0,986.0,1,0,0,0
1051000.0,1116.0,0,0,1,0
169000.0,895.0,1,0,0,0
589000.0,1046.0,0,0,1,0
865000.0,2093.0,0,0,1,0
3969000.0,2332.0,0,0,1,0
1286000.0,1908.0,0,0,1,0
4167000.0,3154.0,0,1,0,0
121000.0,54.0,1,0,0,0
1361000.0,2021.0,0,1,0,0
339000.0,818.0,1,0,0,0
4761000.0,5450.0,1,0,0,0
988000.0,1493.0,0,0,1,0
1486000.0,3493.0,0,0,1,0
6525000.0,9301.0,1,0,0,0
24440000.0,23609.0,0,1,0,0
367000.0,1200.0,0,0,1,0
16156000.0,13394.0,0,0,1,0
337000.0,915.0,1,0,0,0
555000.0,884.0,1,0,0,0
5280000.0,4817.0,0,1,0,0
5478000.0,2689.0,0,1,0,0
1000.0,187.0,1,0,0,0
132000.0,477.0,1,0,0,0
0.0,602.0,0,0,1,0
3070000.0,867.0,0,0,1,0
18586000.0,25888.0,0,0,1,0
0.0,221.0,0,0,0,1
2000.0,306.0,1,0,0,0
5763000.0,2664.0,0,0,1,0
2030000.0,3380.0,0,1,0,0
37564000.0,20923.0,0,0,1,0
182000.0,1122.0,0,0,1,0
102000.0,646.0,1,0,0,0
570000.0,1152.0,0,0,1,0
224000.0,3866.0,0,0,1,0
5575000.0,14081.0,0,0,1,0
5087000.0,8848.0,0,0,1,0
4066000.0,5660.0,0,0,1,0
161000.0,1939.0,1,0,0,0
16855000.0,15343.0,0,0,0,1
7795000.0,15252.0,0,0,1,0
143000.0,840.0,1,0,0,0
6505000.0,21275.0,0,0,1,0
5040000.0,10204.0,0,0,1,0
694000.0,1375.0,0,0,1,0
17726000.0,30876.0,0,0,1,0
1037000.0,1836.0,0,0,1,0
0.0,539.0,1,0,0,0
125000.0,822.0,1,0,0,0
15629000.0,17668.0,0,0,1,0
48288000.0,34876.0,0,0,1,0
142000.0,444.0,1,0,0,0
1430000.0,1567.0,1,0,0,0
1047000.0,9936.0,0,0,1,0
107000.0,1110.0,0,1,0,0
177000.0,311.0,1,0,0,0
3785000.0,4076.0,1,0,0,0
6994000.0,25958.0,0,0,1,0
1658000.0,6474.0,0,0,1,0
6687000.0,6807.0,0,0,1,0
6656000.0,4743.0,0,0,1,0
0.0,789.0,0,1,0,0
121000.0,588.0,1,0,0,0
1762000.0,2312.0,0,0,1,0
16510000.0,13222.0,0,0,1,0
3961000.0,4016.0,0,0,1,0
2626000.0,4281.0,0,0,1,0
336000.0,2414.0,0,0,1,0
1114000.0,2365.0,0,0,1,0
712000.0,1280.0,1,0,0,0
1000.0,1082.0,1,0,0,0
9531000.0,27328.0,0,1,0,0
0.0,178.0,1,0,0,0
11791000.0,32481.0,0,0,1,0
866000.0,5278.0,0,0,1,0
1568000.0,8309.0,0,0,1,0
3121000.0,3820.0,0,1,0,0
161000.0,1448.0,1,0,0,0
10944000.0,7059.0,0,0,1,0
1522000.0,9136.0,0,1,0,0
2870000.0,23705.0,0,0,1,0
16241000.0,19858.0,0,0,1,0
1688000.0,3562.0,0,0,1,0
312000.0,1745.0,0,0,0,1
3381000.0,16331.0,0,0,1,0
4366000.0,5743.0,0,0,1,0
1433000.0,4402.0,0,1,0,0
6325000.0,18769.0,0,0,1,0
38000.0,216.0,1,0,0,0
268000.0,1702.0,0,0,1,0
3391000.0,3647.0,0,0,1,0
1166000.0,15126.0,0,0,1,0
2303000.0,33252.0,0,0,1,0
88651000.0,31647.0,0,1,0,0
4657000.0,6016.0,0,0,1,0
4935000.0,16328.0,0,0,1,0
54154000.0,31753.0,0,0,1,0
31012000.0,36994.0,0,0,1,0
584000.0,620.0,1,0,0,0
906000.0,3031.0,0,0,1,0
1618000.0,5413.0,0,0,1,0
816000.0,2183.0,1,0,0,0
3000.0,112.0,0,0,0,1
519000.0,1548.0,0,0,1,0
109000.0,3199.0,0,0,1,0
132000.0,366.0,1,0,0,0
10122000.0,5842.0,0,0,1,0
2737000.0,18344.0,0,0,1,0
870000.0,1850.0,0,0,1,0
23671000.0,39540.0,0,0,1,0
925000.0,1422.0,0,0,1,0
2474000.0,4972.0,0,0,1,0
7420000.0,7678.0,0,0,1,0
32104000.0,51747.0,0,0,1,0
351000.0,915.0,1,0,0,0
289000.0,982.0,1,0,0,0
1041000.0,1102.0,1,0,0,0
3058000.0,1334.0,0,0,1,0
