"","X","partis.2014"
"179",77390,3
"180",77393,3
"181",78513,1
"182",93073,4
"183",95203,3
"184",78545,3
"185",94043,4
"186",95306,3
"187",95219,3
"188",91103,3
"189",91589,3
"190",95476,3
"191",95268,3
"192",91386,3
"193",94044,3
"194",91661,3
"195",95323,3
"196",95352,3
"197",77014,3
"198",77183,3
"199",77131,3
"200",78335,4
"201",77122,3
"202",94002,4
"203",94019,1
"204",91421,3
"205",92025,3
"206",77445,1
"207",78005,3
"208",91215,3
"209",92060,3
"210",95351,1
"211",77194,1
"212",77389,3
"213",77294,4
"214",77305,3
"215",77373,4
"216",94017,4
"217",94042,3
"225",91200,4
"226",91201,3
"227",91549,4
"228",77459,3
"229",93030,3
"230",77153,3
"231",78160,3
"232",78162,1
"233",78163,1
"234",78164,1
"235",78165,3
"236",78168,3
"237",78171,3
"238",78185,1
"239",78188,1
"240",78189,1
"241",78190,3
"242",78192,4
"243",78193,1
"244",78194,1
"245",78196,1
"246",78202,3
"247",78206,1
"248",78208,3
"249",78209,1
"250",78217,3
"251",78220,3
"252",78224,3
"253",78227,4
"254",78230,2
"255",78231,1
"256",78233,3
"257",78234,1
"258",78236,1
"259",78237,1
"260",78238,3
"261",78239,3
"262",78242,3
"263",78245,1
"264",78246,1
"265",78251,3
"266",78255,3
"267",78261,1
"268",78262,3
"269",78263,3
"270",78264,1
"271",78265,3
"272",78267,3
"273",78269,1
"274",78276,2
"275",78278,1
"276",78281,1
"277",78283,1
"278",78285,1
"279",78289,1
"280",78290,1
"281",78291,3
"282",78296,1
"283",78299,3
"284",78300,1
"285",78302,1
"286",78305,1
"287",78307,1
"288",78310,3
"289",78311,3
"290",78314,4
"291",78317,1
"292",78320,1
"293",78321,3
"294",78322,3
"295",78324,1
"296",78325,1
"297",78327,4
"298",78329,2
"299",78334,3
"300",78337,3
"301",78343,3
"302",78349,1
"303",78356,4
"304",78362,3
"305",78364,2
"306",78366,1
"307",78368,2
"308",78380,3
"309",78381,2
"310",78382,4
"311",78384,3
"312",78385,1
"313",78389,3
"314",78391,2
"315",78396,3
"316",78398,1
"317",78401,3
"318",78402,3
"319",78403,1
"320",78404,1
"321",78406,1
"322",78407,1
"323",78410,1
"324",78413,1
"325",78415,1
"326",78416,1
"327",78417,2
"328",78418,3
"329",78420,3
"330",78431,3
"331",78437,3
"332",78439,1
"333",78442,3
"334",78444,1
"335",78451,1
"336",78455,3
"337",78460,1
"338",78465,1
"339",78466,3
"340",78470,1
"341",78472,3
"342",78474,1
"343",78475,1
"344",78478,1
"345",78481,3
"346",78484,1
"347",78486,4
"348",78497,1
"349",78499,1
"350",78501,3
"351",78502,3
"352",78503,1
"353",78506,1
"354",78516,1
"355",78518,2
"356",78520,3
"357",78522,1
"358",78524,3
"359",78528,3
"360",78530,1
"361",78531,3
"362",78536,1
"363",78537,4
"364",78548,1
"365",78550,3
"366",78558,1
"367",78559,1
"368",78561,3
"369",78564,1
"370",78565,1
"371",78567,2
"372",78569,1
"373",78571,3
"374",78575,3
"375",78576,3
"376",78588,1
"377",78590,1
"378",78591,1
"379",78597,1
"380",78601,3
"381",78605,3
"382",78608,1
"383",78609,1
"384",78615,1
"385",78616,3
"386",78618,1
"387",78620,3
"388",78623,1
"389",78624,3
"390",78638,2
"391",78640,3
"392",78643,3
"393",78644,4
"394",78647,1
"395",78653,1
"396",78655,1
"397",78668,1
"398",78672,3
"399",78677,1
"400",78681,1
"401",78686,3
"402",78688,3
"403",77001,3
"404",77002,1
"405",77003,1
"406",77004,1
"407",77005,3
"408",77006,4
"409",77007,1
"410",77008,3
"411",77009,1
"412",77010,3
"413",77011,1
"414",77012,1
"415",77013,1
"416",77015,1
"417",77016,4
