,label
77338,0
77340,1
77342,1
77343,2
77348,2
77352,1
77353,1
77354,1
77357,1
77359,1
77360,2
77364,0
77365,1
77367,1
77368,2
77369,1
77370,1
77377,1
77378,0
77380,2
77383,1
77386,1
77388,1
77392,0
77396,1
77397,0
77398,1
77399,1
77400,1
77402,1
77403,0
77404,1
77406,1
77408,0
77410,0
77411,0
77412,1
77413,1
77414,1
77415,0
77416,1
77417,0
77418,1
77419,1
77420,1
77421,0
77423,1
77424,1
77426,1
77427,2
77428,1
77429,1
77430,2
77433,0
77434,2
77437,1
77438,1
77444,1
77446,1
77448,0
77451,1
77453,0
77457,1
77460,2
77461,0
77466,1
77467,0
77471,0
77473,1
77474,2
77476,1
77477,0
77481,0
77483,0
77484,0
77485,1
77489,0
77490,1
77492,1
77493,1
77495,0
77498,2
77501,1
77504,0
77505,1
77506,0
77507,2
77508,0
77511,0
77512,1
77513,1
77515,1
77516,0
77517,2
77519,1
77520,1
77521,2
77523,0
77524,1
77525,2
77527,1
77528,0
77529,1
77531,1
77532,2
78006,1
78010,0
78013,1
78015,1
78020,2
78030,1
78036,1
78048,1
78050,1
78053,1
78062,1
78068,1
78070,1
78071,1
78072,0
78076,1
78077,1
78082,1
78084,0
78087,0
78089,2
78090,1
78096,2
78104,1
78107,1
78108,2
78113,1
78118,2
78128,1
78133,1
78140,0
91001,0
91017,1
91022,0
91037,2
91038,2
91041,2
91044,0
91047,1
91067,0
91069,1
91075,0
91080,1
91093,1
91098,2
91105,1
91106,0
91109,2
91111,0
91112,0
91121,1
91130,1
91131,1
91136,0
91137,2
91145,0
91156,1
91175,1
91180,1
91184,1
91186,1
91195,1
91198,2
91204,1
91216,0
91222,0
91225,0
91226,1
91232,1
91235,0
91240,0
91243,2
91244,1
91247,2
91248,2
91249,1
91275,2
91284,2
91292,1
91293,0
91294,0
91318,0
91333,0
91339,0
91359,1
91374,1
91376,0
91378,1
91405,1
91425,2
91433,1
91441,0
91457,1
91458,1
91473,1
91482,1
91507,1
91508,0
91511,2
91519,1
91525,0
91526,2
91533,1
91534,2
91540,0
91544,1
91546,1
91556,2
91560,0
91568,1
91577,0
91587,1
91619,1
91629,1
91630,1
91634,1
91635,1
91639,1
91662,1
91671,0
91679,1
94047,1
94048,1
95002,0
95008,1
95012,2
95014,1
95019,0
95023,1
95024,1
95028,1
95040,1
95042,1
95055,0
95058,0
95059,0
95061,0
95074,1
95078,1
95101,1
95102,1
95110,1
95119,1
95120,0
95139,1
95142,0
95149,1
95151,1
95154,1
95157,0
95166,0
95169,0
95170,0
95183,1
95211,0
95213,1
95214,1
95241,1
95254,1
95258,1
95259,1
95270,1
95271,0
95287,0
95295,0
95298,1
95304,0
95309,1
95316,1
95328,2
95331,1
95348,1
95355,1
