insee;Pop1946;PSDC1962;PSDC1968;PSDC1975;PSDC1982;PSDC1990;TCAM7590;TCAM8290;POPEXH1999;PSDC82DF99;PSDC90DF99;TCAM8299;TCAM9099;POPMUN2006;TCAM9006;TCAM9906;POPMUN2007;TCAM9907;POPMUN2008;TCAM9908;POPMUN2009;TCAM9909;POPMUN2010;TCAM9010;TCAM9910;POPMUN2011;TCAM9911;TCAM0611;AREA;PERIMETER;Geo Shape;Geo Point
77373;3129;7465.0;9282.0;16761.0;19037.0;26804.0;3.17;4.37;32956.0;19037.0;26804.0;3.28;2.32;34546.0;1.6;0.68;34732.64;0.6585;34815;0.6116;35252;0.675762;35561;1.42;0.69;36458.0;0.845114;1.083208;13771604.906;20173.09033699225;"{""type"": ""Polygon"", ""coordinates"": [[[2.614816906164042, 48.76112090971125], [2.606453544236039, 48.7733345238828], [2.59103082951138, 48.772320363826836], [2.587148254654138, 48.77461846577872], [2.598842925820701, 48.79334764332706], [2.591542353000813, 48.797370134020525], [2.596498355269582, 48.806083940358604], [2.592266872483779, 48.807436629376056], [2.595795003166613, 48.81426583101425], [2.600183287980367, 48.81561164760538], [2.627456544425445, 48.80285674852526], [2.634392088892316, 48.79429810571005], [2.626482767503302, 48.79054121159927], [2.626111882410298, 48.78721232663595], [2.649116072112975, 48.774798553411394], [2.640856497812269, 48.768828989103966], [2.630852937169994, 48.769266182167726], [2.614816906164042, 48.76112090971125]]]}";48.7871411658, 2.61407436985
91332;458;512.0;614.0;701.0;803.0;966.0;2.15;2.34;1187.0;803.0;966.0;2.33;2.32;1281.0;1.78;1.09;1294.0;1.0847;1311;1.1101;1351;1.30257;1374;1.78;1.34;1393.0;1.34252;1.690503;7759524.497592086;13462.54959053536;"{""type"": ""Polygon"", ""coordinates"": [[[2.34275603831907, 48.55283088682573], [2.339449314507339, 48.555016550051946], [2.317022752922143, 48.55291979421499], [2.312614467622999, 48.56255593463809], [2.313281782316778, 48.575756568263124], [2.316867985207582, 48.58559148900525], [2.326590094046657, 48.5929423269166], [2.338445908821838, 48.5904990451477], [2.336501928392655, 48.574826817822355], [2.347631266303204, 48.55741861223623], [2.34275603831907, 48.55283088682573]]]}";48.5707254105, 2.32774257442
77147;730;582.0;547.0;513.0;551.0;615.0;1.21;1.38;651.0;551.0;615.0;0.99;0.63;660.0;0.44;0.2;661.51;0.2004;663;0.2032;664;0.197921;667;0.41;0.22;669.0;0.227545;0.271252;29436787.3214;23271.30614198171;"{""type"": ""Polygon"", ""coordinates"": [[[3.095271254507197, 48.5614452165473], [3.05240856525164, 48.56405352115185], [3.046757384024239, 48.57960892590835], [3.034708655166827, 48.584533493407726], [3.035677189359355, 48.59321364870808], [3.036121255324206, 48.607911655902754], [3.057983100296619, 48.62923030106409], [3.072785713581808, 48.62788192316563], [3.079006400685326, 48.62283175884265], [3.102442198844902, 48.61787562472165], [3.104113125029995, 48.59852562767368], [3.097031487760261, 48.58257400146585], [3.104016719943536, 48.570469323658436], [3.096312585529996, 48.567633254426276], [3.099595976312149, 48.562287249519585], [3.095271254507197, 48.5614452165473]]]}";48.5944942615, 3.07093990033
77232;241;265.0;288.0;298.0;366.0;416.0;2.24;1.61;687.0;366.0;416.0;3.77;5.73;846.0;4.53;3.02;865.22;2.9251;884;2.841;903;2.771596;910;3.99;2.59;911.0;2.37961;1.491484;7235584.940849677;11579.29989367897;"{""type"": ""Polygon"", ""coordinates"": [[[2.846989260812841, 48.90748100384574], [2.836505202019572, 48.900974323112415], [2.828525204533929, 48.90520778960659], [2.823919381205963, 48.90371728883488], [2.806567628004384, 48.914760667818435], [2.805507425200232, 48.9173308778055], [2.82975572989391, 48.93355458487291], [2.851211107057974, 48.92432972353878], [2.846989260812841, 48.90748100384574]]]}";48.9170644276, 2.83057358355
95116;402;670.0;962.0;1582.0;1546.0;3162.0;4.71;9.36;3392.0;1546.0;3162.0;4.73;0.78;3248.0;0.17;-0.62;3297.0;-0.3545;3429;0.1206;3565;0.498683;3700;0.79;0.79;3761.0;0.864256;2.976343;9233642.513869835;13557.21965774235;"{""type"": ""Polygon"", ""coordinates"": [[[2.338580218524824, 49.145671030340615], [2.329938261166365, 49.14201780380559], [2.322738714305511, 49.146571953172156], [2.311918280473377, 49.15016994668642], [2.310592807616049, 49.18487621002128], [2.32177694355244, 49.18443621913804], [2.359295696799116, 49.1473475243682], [2.351486897351877, 49.14487812227242], [2.338580218524824, 49.145671030340615]]]}";49.1610125293, 2.32878300621
77118;2043;3220.0;4363.0;5735.0;8152.0;9740.0;3.58;2.25;10118.0;8152.0;9740.0;1.28;0.42;11086.0;0.81;1.31;11250.51;1.3351;11272;1.2073;11128;0.956025;11026;0.62;0.78;11122.0;0.791525;0.064863;15391937.8379;19147.40864754195;"{""type"": ""Polygon"", ""coordinates"": [[[2.67106815830867, 48.923287182108396], [2.660678251211213, 48.93032648535752], [2.645187371063745, 48.93033557906497], [2.636460452917778, 48.93309715692638], [2.636741479251542, 48.94367334457339], [2.643350853897473, 48.95335118355406], [2.653194165163208, 48.95561918951182], [2.674584928304008, 48.95665933068266], [2.681438909289037, 48.95235235534631], [2.690721292198742, 48.95504742535107], [2.705912688991732, 48.953754763441815], [2.723410285392201, 48.960270959102196], [2.724226764631402, 48.95824055324883], [2.72009816422712, 48.94895076149799], [2.710103788289418, 48.941652045864345], [2.697739488965583, 48.93866294424961], [2.694718405290039, 48.93242339656103], [2.683400962189556, 48.92611713923211], [2.673479237944188, 48.92615346390408], [2.67106815830867, 48.923287182108396]]]}";48.9429697515, 2.67523211808
77341;288;305.0;290.0;236.0;226.0;271.0;0.92;2.3;318.0;226.0;271.0;2.03;1.79;358.0;1.75;1.71;363.55;1.6874;369;1.6665;373;1.608063;378;1.68;1.58;370.0;1.270095;0.661579;12460817.8242;18264.05517109103;"{""type"": ""Polygon"", ""coordinates"": [[[3.369893006301988, 48.43288571623302], [3.350676210265738, 48.438036059701155], [3.344572623937744, 48.44744618426616], [3.339422446846338, 48.447757904152915], [3.310951964510974, 48.440090024203855], [3.30700117781084, 48.45351387927046], [3.321514250467885, 48.46700584859958], [3.336368490743458, 48.469222749276085], [3.344025729300309, 48.465116521431], [3.358654408068676, 48.467916047303554], [3.361860268561879, 48.45609420740675], [3.382661678159755, 48.43379885266743], [3.369893006301988, 48.43288571623302]]]}";48.4518691045, 3.34226623535
77071;685;671.0;576.0;573.0;576.0;674.0;1.09;1.98;785.0;576.0;674.0;1.84;1.71;854.0;1.49;1.21;856.15;1.0904;871;1.1618;887;1.229105;902;1.47;1.27;917.0;1.303622;1.433706;23281173.7956;27036.01652759491;"{""type"": ""Polygon"", ""coordinates"": [[[2.810310115210018, 48.1609979537068], [2.810890160590386, 48.16427421929409], [2.801268634362612, 48.165500157722825], [2.798944059322215, 48.168411621338095], [2.790387538513242, 48.1654003524054], [2.780977484234441, 48.16736286105008], [2.793375689041465, 48.19236386060198], [2.78993208083439, 48.19875534552589], [2.780460654402207, 48.2010955832681], [2.767550528628155, 48.2107976305983], [2.774950090886754, 48.215031959765646], [2.793730658283412, 48.21862038746349], [2.795159150953893, 48.22175411363547], [2.807023267619585, 48.21028384075121], [2.825367128101087, 48.20359095433924], [2.862131017134769, 48.217523287744335], [2.86330949448821, 48.214771321689575], [2.848712734471519, 48.196955695502915], [2.837758359050751, 48.16601485992844], [2.823300350022461, 48.165580186710294], [2.810310115210018, 48.1609979537068]]]}";48.1911011555, 2.81419944811
94058;23086;27900.0;29099.0;28333.0;27647.0;28477.0;0.03;0.37;30076.0;27647.0;28477.0;0.5;0.61;32067.0;0.74;0.92;32100.0;0.8174;32250;0.7785;32194;0.682847;32520;0.67;0.71;33214.0;0.830462;0.705356;3811770.8219769816;8036.96060868635;"{""type"": ""Polygon"", ""coordinates"": [[[2.504679851760672, 48.82972494684114], [2.497599519350123, 48.83081062067052], [2.491523260867017, 48.84763882832876], [2.499717550238719, 48.85567752564453], [2.503941324504541, 48.85723297930669], [2.513670428920088, 48.8501681266457], [2.511701114233563, 48.8436398477218], [2.516994873460105, 48.83406525167816], [2.514734807466692, 48.83098929530885], [2.504679851760672, 48.82972494684114]]]}";48.8423952383, 2.50406848573
91284;403;366.0;374.0;575.0;762.0;846.0;2.6;1.32;873.0;762.0;846.0;0.8;0.35;949.0;0.72;1.2;974.91;1.3897;1000;1.5206;1026;1.627984;1067;1.17;1.84;1080.0;1.788987;2.619881;13064229.3175;14595.03425647201;"{""type"": ""Polygon"", ""coordinates"": [[[2.017785106698451, 48.48124605895462], [1.998991815784815, 48.48249264260903], [1.991581326565326, 48.486433511946494], [1.992615927604017, 48.4896451282151], [1.984770357233103, 48.493608862972266], [1.978253014839369, 48.505770466566176], [1.995072017480497, 48.514055801073546], [2.020784831699302, 48.5170323704831], [2.032328287219423, 48.50129303082247], [2.046706708386302, 48.48705067177692], [2.017785106698451, 48.48124605895462]]]}";48.4981066436, 2.01059778399
91047;507;513.0;613.0;634.0;953.0;1207.0;4.37;3.0;1379.0;953.0;1207.0;2.2;1.49;1362.0;0.76;-0.18;1363.82;-0.1383;1345;-0.277;1331;-0.353654;1316;0.43;-0.42;1302.0;-0.477664;-0.897006;8073986.192955047;14952.60418867515;"{""type"": ""Polygon"", ""coordinates"": [[[2.41518271776247, 48.48113278334931], [2.400834819356814, 48.47794854085381], [2.391371982315157, 48.480689284867985], [2.384237742194355, 48.48556449582931], [2.364610483918288, 48.49040908553175], [2.351210349229127, 48.48503782962253], [2.346602093748158, 48.48669488155313], [2.352288421020651, 48.48979376405596], [2.3663735195464, 48.51029111625142], [2.40622384994851, 48.503938740264346], [2.4065133083858, 48.5022848950617], [2.39878648307132, 48.49848564810455], [2.397308111003061, 48.488132498122155], [2.41518271776247, 48.48113278334931]]]}";48.4949687726, 2.38140884118
95254;203;200.0;232.0;244.0;293.0;396.0;3.27;3.84;464.0;293.0;396.0;2.74;1.78;539.0;1.94;2.16;544.29;2.015;544;1.7831;543;1.584673;543;1.59;1.44;539.0;1.256419;0.0;4313266.701604094;9087.76816591985;"{""type"": ""Polygon"", ""coordinates"": [[[1.991133630382485, 49.10806679059511], [1.989016381484119, 49.10918197986911], [1.975343857098752, 49.124604035792245], [1.9820719819381, 49.130820435029676], [2.000269375996585, 49.135738545711845], [2.011322436728187, 49.131720723429524], [2.002205792179683, 49.11559535122005], [1.991133630382485, 49.10806679059511]]]}";49.1234959164, 1.99347687153
77091;111;116.0;122.0;95.0;149.0;214.0;5.55;4.63;330.0;149.0;214.0;4.79;4.93;368.0;3.44;1.57;373.0;1.5429;397;2.0751;430;2.682268;421;3.44;2.24;413.0;1.887211;2.334117;6450963.096824589;10974.21010140595;"{""type"": ""Polygon"", ""coordinates"": [[[2.848869783468873, 48.72964537395772], [2.836510024888224, 48.73437803017081], [2.817511758680709, 48.73531287771075], [2.811794650872398, 48.74837249406821], [2.82579576864234, 48.75063326808254], [2.835810859453161, 48.75782470481994], [2.845576645986877, 48.758242462036456], [2.848929943956331, 48.7558543421453], [2.849269728553019, 48.746527927843104], [2.85731635895685, 48.74325496431908], [2.856323312650211, 48.73347711975799], [2.848869783468873, 48.72964537395772]]]}";48.7435938293, 2.83654734794
78605;250;275.0;345.0;512.0;671.0;778.0;2.82;1.87;965.0;671.0;778.0;2.16;2.42;1023.0;1.73;0.84;1027.03;0.7818;1028;0.7052;1040;0.751287;1049;1.51;0.76;1058.0;0.769676;0.675085;3353316.70200013;7624.19755553231;"{""type"": ""Polygon"", ""coordinates"": [[[1.656204439236224, 48.82148255680226], [1.652073565555278, 48.823199039687424], [1.658914411297187, 48.84163414446019], [1.670258449557492, 48.84458509205783], [1.676740332424756, 48.84048348124857], [1.677094539458584, 48.83189752182909], [1.67243044518797, 48.82672785377826], [1.656204439236224, 48.82148255680226]]]}";48.8331353956, 1.66523067684
77358;353;356.0;371.0;623.0;751.0;773.0;1.44;0.36;799.0;751.0;773.0;0.37;0.37;1007.0;1.67;3.36;1024.93;3.1617;1029;2.8508;1033;2.601888;1037;1.48;2.4;1055.0;2.343156;0.935653;4609028.229208408;10022.03022345518;"{""type"": ""Polygon"", ""coordinates"": [[[2.860392210210019, 48.9763351238655], [2.8372621920063, 48.994802846965456], [2.856610439353208, 49.00527626864332], [2.857491544881562, 49.002957382591994], [2.858724555694158, 48.99684425752771], [2.867878256873388, 48.997744898091035], [2.877623428132317, 48.9913528738451], [2.876114122006893, 48.98824005287079], [2.866828316713816, 48.98617090560112], [2.868798217194024, 48.97978863165002], [2.860392210210019, 48.9763351238655]]]}";48.9907877063, 2.85773717283
