Geometry X Y;Geometry;INSEE;lv1962;lv1968;lv1975;lv1982;lv1990;lv1999;lv2006;Lv2007;Lv2008;Lv2009
48.186948902, 2.74747303738;"{""type"": ""Polygon"", ""coordinates"": [[[2.781210016308676, 48.16727492219905], [2.771681505540963, 48.16274954356607], [2.757442050879622, 48.161054024231305], [2.749331249696375, 48.15961456413921], [2.730152175726176, 48.173525375245084], [2.710665083914108, 48.17798884501999], [2.692141803051231, 48.172797371368446], [2.689554612472718, 48.18345220740149], [2.71731189382602, 48.198234977719984], [2.722529343717609, 48.206849783501866], [2.734244732184507, 48.2100283320739], [2.767710195742668, 48.21081366937422], [2.778437634843403, 48.20523295240169], [2.776339243258287, 48.20062813069348], [2.789566740653629, 48.201205260497886], [2.795873893561843, 48.19072178656926], [2.786661906619127, 48.18923023625618], [2.781210016308676, 48.16727492219905]]]}";77458;53.0;112.0;115.0;134.0;160.0;156.0;234.0;238.443039;242.42;261.55447
48.1622154597, 2.53394012629;"{""type"": ""Polygon"", ""coordinates"": [[[2.554672238993018, 48.167141019394116], [2.552501719155321, 48.15309962695084], [2.566915213992111, 48.15188402814892], [2.570627033308216, 48.140951033859764], [2.537306040006835, 48.14029621805958], [2.505910172060831, 48.156560618008534], [2.516926172656902, 48.166722444120545], [2.512087754824226, 48.170749568539236], [2.515301592423874, 48.17482689451762], [2.507225047507954, 48.179740149957524], [2.516293149666941, 48.187708609844464], [2.516528015036352, 48.19251226126095], [2.520051209737564, 48.19436803972989], [2.533748275407678, 48.189012499696645], [2.536685331645317, 48.170078959145584], [2.554672238993018, 48.167141019394116]]]}";77207;10.0;8.0;6.0;6.0;7.0;4.0;6.0;6.0;5.84;5.844156
48.1405916745, 2.49250328153;"{""type"": ""Polygon"", ""coordinates"": [[[2.505910172060831, 48.156560618008534], [2.537306040006835, 48.14029621805958], [2.52158564148163, 48.125144768391685], [2.476270345744547, 48.129832320108015], [2.464905648592532, 48.12929742826737], [2.454292022736737, 48.12243925445806], [2.441766808374227, 48.1247626866881], [2.444078283265934, 48.13172925529058], [2.46006196118671, 48.13688311902448], [2.47178145702163, 48.15035815697844], [2.476800697299925, 48.15602941522591], [2.483087378631727, 48.164622677473616], [2.505910172060831, 48.156560618008534]]]}";77027;19.0;35.0;45.0;62.0;63.0;73.0;58.0;60.615686;62.32;72.806609
48.5549831592, 2.16057801087;"{""type"": ""Polygon"", ""coordinates"": [[[2.181883703829263, 48.56414233870267], [2.173593160124643, 48.5513612566285], [2.157106714601194, 48.53690326143207], [2.155436445274037, 48.53820452344978], [2.15572503550644, 48.55199958528587], [2.148235157455138, 48.5518434989781], [2.138441999116968, 48.565513513357246], [2.166350607481457, 48.562105723745525], [2.181883703829263, 48.56414233870267]]]}";91106;3.0;4.0;9.0;17.0;11.0;10.0;19.0;19.0;19.12;19.117526
48.557962121, 2.87940459562;"{""type"": ""Polygon"", ""coordinates"": [[[2.890615747422755, 48.55870480306001], [2.884147592534201, 48.55691964610496], [2.882662898174453, 48.54998432546128], [2.876556617061519, 48.55022038913852], [2.870495674194611, 48.56357646200424], [2.881746546033483, 48.564071531639264], [2.890615747422755, 48.55870480306001]]]}";77052;11.0;10.0;8.0;10.0;4.0;2.0;4.09;5.740196;6.37;7.0
48.5353532071, 1.94283252796;"{""type"": ""Polygon"", ""coordinates"": [[[1.934301974959456, 48.548696263345235], [1.943983194490611, 48.54217454395657], [1.97593323173004, 48.536093755268034], [1.978618907835604, 48.525994550084235], [1.96766549712986, 48.52613927232623], [1.952833816765777, 48.52357207808861], [1.937738453787137, 48.52030957834306], [1.929270118241951, 48.53125949159531], [1.917743284727449, 48.53342968049231], [1.917526347201147, 48.53831190209735], [1.908267515678772, 48.54896061395756], [1.922726036906094, 48.549487478807634], [1.927466201888205, 48.55150449974965], [1.934301974959456, 48.548696263345235]]]}";78569;6.0;1.0;9.0;3.0;10.0;14.0;19.0;18.951157;16.2;16.099473
48.5323600941, 2.23433251338;"{""type"": ""Polygon"", ""coordinates"": [[[2.233850785298086, 48.54018228151683], [2.249059598619889, 48.53952062930215], [2.248666809697453, 48.5318856591887], [2.246266789449071, 48.52633537468235], [2.235445186511016, 48.521901891840336], [2.235128238848788, 48.524653321112105], [2.216943022442405, 48.52630816445732], [2.220450337440819, 48.53173431776363], [2.224233258229871, 48.541387135940255], [2.233850785298086, 48.54018228151683]]]}";91619;6.0;4.0;4.0;6.0;7.0;3.0;4.12;2.873278;2.94;3.0
48.4983588673, 2.01100409418;"{""type"": ""Polygon"", ""coordinates"": [[[2.032922617288584, 48.50108176247575], [2.046805874605135, 48.487017810313056], [2.017540690015582, 48.48141768401244], [1.994405935498744, 48.480957016721305], [1.992042461229888, 48.49076371898077], [1.977842804218216, 48.505848631463664], [1.993511439233373, 48.51406245626281], [2.020281432858507, 48.518663640633044], [2.032922617288584, 48.50108176247575]]]}";91284;5.0;10.0;10.0;7.0;15.0;11.0;6.13;12.155989;13.58;15.0
48.4919504057, 2.17913465194;"{""type"": ""Polygon"", ""coordinates"": [[[2.203823879515369, 48.516347797034896], [2.201194376224184, 48.50769387664331], [2.217034846489599, 48.49927674703597], [2.19316618948596, 48.48042769973964], [2.193768828085967, 48.47305462413394], [2.161400100828811, 48.47483457784948], [2.148597440220241, 48.480749071500085], [2.137171308211095, 48.48672750961804], [2.151345627987072, 48.50203888427496], [2.152471925217143, 48.497499498419934], [2.179227782824252, 48.49551656244763], [2.17572802978274, 48.50674329386238], [2.191006650957326, 48.511395135268124], [2.182419307292805, 48.51794830597197], [2.18739900423179, 48.51845856299965], [2.196061043963186, 48.51401835131299], [2.203823879515369, 48.516347797034896]]]}";91226;20.0;44.0;97.0;87.0;103.0;122.0;90.84;87.0;87.43;89.023921
48.4066110126, 2.68035626189;"{""type"": ""Polygon"", ""coordinates"": [[[2.673553842855663, 48.487246790969564], [2.66999523946661, 48.48102544016715], [2.67924527134933, 48.474828915417234], [2.682381870395936, 48.47271511517026], [2.700115241835247, 48.45829840231942], [2.712629382990484, 48.46479518128314], [2.719183931887355, 48.48028552062906], [2.747328861934547, 48.48328049169802], [2.75440160195348, 48.4799214163053], [2.758114039942082, 48.48189526503033], [2.762220948801576, 48.47949450374189], [2.766568989160247, 48.4759880226992], [2.763642935671044, 48.46590932597364], [2.754350223755608, 48.46392062555237], [2.743959612824847, 48.46983065469778], [2.739666122262401, 48.46563745490355], [2.736889227660667, 48.45147492589351], [2.744011141778653, 48.446215830451635], [2.742140583418726, 48.427176218768196], [2.735294319933322, 48.424295933525876], [2.712961375613627, 48.41355434277597], [2.721299285602737, 48.40696174538512], [2.717232666719093, 48.40501512308836], [2.719368144320647, 48.39990915005929], [2.724422610127895, 48.398659960108844], [2.73106095511532, 48.40825903551602], [2.735291395848084, 48.40692230416099], [2.742803547566314, 48.41226414775386], [2.749017060690697, 48.40733173248261], [2.751797761423878, 48.4055050649534], [2.756977734238796, 48.40959554526529], [2.778148306542976, 48.40711390066891], [2.772308178523808, 48.40337763955803], [2.779105484091167, 48.39925064589423], [2.778183662018727, 48.389632209899], [2.780188201596895, 48.379642641794355], [2.796735187034021, 48.370503061370506], [2.802237711381787, 48.36132614225927], [2.793960887316621, 48.34743052633452], [2.720155940381808, 48.352767785374304], [2.711889191639291, 48.35325414427172], [2.706344787872096, 48.346015500257614], [2.669946343296698, 48.3455532562168], [2.659217817830249, 48.35329092792104], [2.626400898407679, 48.35239073109451], [2.618334691201421, 48.350279938368445], [2.604827756701014, 48.35737187325131], [2.596115019799907, 48.35022528839972], [2.59025768812015, 48.35243276526278], [2.58924763102229, 48.358154206652415], [2.586431126393589, 48.36428431900458], [2.561382509243575, 48.36968752419877], [2.575058863741111, 48.384937584170935], [2.595130217498636, 48.418390310610185], [2.598197777302892, 48.434129093661575], [2.599384687210793, 48.438856395814604], [2.621888412792444, 48.44631065550387], [2.63024585640594, 48.45625301714551], [2.633121132541709, 48.46466255365723], [2.645396283052107, 48.464261051266], [2.647225759663479, 48.46928289501048], [2.629249114525714, 48.489312270841396], [2.633881272905905, 48.49707880655967], [2.640793252231238, 48.49451556140217], [2.662530651199703, 48.48753981796849], [2.660826874545977, 48.5022836002732], [2.664316713155366, 48.50207572812021], [2.673553842855663, 48.487246790969564]]]}";77186;235.0;624.0;337.0;539.0;658.0;1134.0;1059.04;1061.324785;1110.42;1179.625373
