code,name,party
91377,Massy,UDI
91378,Mauchamps,UMP-LR
91386,Mennecy,UDI
91390,Méréville,SE
91393,Mérobert,NA
91399,Mespuits,NA
91405,Milly-la-Forêt,UMP-LR
91408,Moigny-sur-Ecole,UMP-LR
91411,Les Molières,PS
91412,Mondeville,NA
91414,Monnerville,NA
91421,Montgeron,UMP-LR
91425,Montlhéry,UMP-LR
91432,Morangis,PS
91433,Morigny-Champigny,DVD
91434,Morsang-sur-Orge,PCF
91435,Morsang-sur-Seine,NA
91441,Nainville-les-Roches,NA
91457,La Norville,PS
91458,Nozay,SE
91461,Ollainville,DVG
91463,Oncy-sur-Ecole,UMP-LR
91468,Ormoy,DVD
91469,Ormoy-la-Rivière,NA
91471,Orsay,PS
91473,Orveau,SE
91477,Palaiseau,UMP-LR
91479,Paray-Vieille-Poste,SE
91482,Pecqueuse,DVD
91494,Le Plessis-Pâté,PS
91495,Plessis-Saint-Benoist,NA
91507,Prunay-sur-Essonne,NA
91508,Puiselet-le-Marais,DVD
91511,Pussay,DVG
91514,Quincy-sous-Sénart,UMP-LR
91519,Richarville,DVD
91521,Ris-Orangis,PS
91525,Roinville-sous-Dourdan,NA
91526,Roinvilliers,DVD
91533,Saclas,DVD
91534,Saclay,UMP-LR
91538,Saint-Aubin,NA
91540,Saint-Chéron,SE
91544,Saint-Cyr-la-Rivière,NA
91546,Saint-Cyr-sous-Dourdan,UMP-LR
91547,Saint-Escobille,NA
91549,Sainte-Geneviève-des-Bois,PS
91552,Saint-Germain-lès-Arpajon,DVD
91553,Saint-Germain-lès-Corbeil,DVD
91556,Saint-Hilaire,SE
91560,Saint-Jean-de-Beauregard,DVD
91568,Saint-Maurice-Montcouronne,DVD
91570,Saint-Michel-sur-Orge,UMP-LR
91573,Saint-Pierre-du-Perray,UMP-LR
91577,Saintry-sur-Seine,UDI
91578,Saint-Sulpice-de-Favières,DVD
91579,Saint-Vrain,UMP-LR
91581,Saint-Yon,MoDem
91587,Saulx-les-Chartreux,PCF
91589,Savigny-sur-Orge,UMP-LR
91593,Sermaise,UDI
91599,Soisy-sur-Ecole,SE
91600,Soisy-sur-Seine,SE
91602,Souzy-la-Briche,NA
91613,Congerville-Thionville,NA
91617,Tigery,DVG
91619,Torfou,NA
91629,Valpuiseaux,NA
91630,Le Val-Saint-Germain,NA
91631,Varennes-Jarcy,SE
91634,Vaugrigneuse,DVD
91635,Vauhallan,DVD
91639,Vayres-sur-Essonne,SE
91645,Verrières-le-Buisson,DVD
91648,Vert-le-Grand,NA
91649,Vert-le-Petit,UDI
91654,Videlles,NA
91657,Vigneux-sur-Seine,UMP-LR
91659,Villabé,SE
91661,Villebon-sur-Yvette,DVD
91662,Villeconin,NA
91665,La Ville-du-Bois,DVD
91666,Villejust,DVD
91667,Villemoisson-sur-Orge,DVD
91671,Villeneuve-sur-Auvers,NA
91679,Villiers-le-Bâcle,NA
91685,Villiers-sur-Orge,UMP-LR
91687,Viry-Chatillon,UDI
91689,Wissous,UMP-LR
91691,Yerres,UMP-LR
91692,Les Ulis,SE
92002,Antony,UMP-LR
92004,Asnières-sur-Seine,UMP-LR
92007,Bagneux,PCF
92009,Bois-Colombes,UMP-LR
92012,Boulogne-Billancourt,UMP-LR
92014,Bourg-la-Reine,UDI
92019,Châtenay-Malabry,UMP-LR
92020,Châtillon,UMP-LR
92022,Chaville,UMP-LR
92023,Clamart,UMP-LR
92024,Clichy,PS
92025,Colombes,UMP-LR
92026,Courbevoie,UMP-LR
92032,Fontenay-aux-Roses,DVD
92033,Garches,UMP-LR
92035,La Garenne-Colombes,UMP-LR
92036,Gennevilliers,PCF
92040,Issy-les-Moulineaux,UDI
92044,Levallois-Perret,UMP-LR
92046,Malakoff,PCF
92047,Marnes-la-Coquette,DVD
92048,Meudon,UDI
92049,Montrouge,UDI
92050,Nanterre,PCF
92051,Neuilly-sur-Seine,UDI
92060,Le Plessis-Robinson,UMP-LR
92062,Puteaux,PS
92063,Rueil-Malmaison,UMP-LR
92064,Saint-Cloud,UMP-LR
92071,Sceaux,UDI
92072,Sèvres,DVD
92073,Suresnes,UMP-LR
92075,Vanves,UDI
92076,Vaucresson,UMP-LR
92077,Ville-d'Avray,MoDem
92078,Villeneuve-la-Garenne,UMP-LR
93001,Aubervilliers,PCF
93005,Aulnay-sous-Bois,UMP-LR
93006,Bagnolet,PS
93007,Le Blanc-Mesnil,UMP-LR
93008,Bobigny,UDI
93010,Bondy,PS
93013,Le Bourget,UDI
93014,Clichy-sous-Bois,PS
93015,Coubron,UDI
93027,La Courneuve,PCF
93029,Drancy,UDI
93030,Dugny,UMP-LR
93031,Epinay-sur-Seine,MoDem
93032,Gagny,UMP-LR
93033,Gournay-sur-Marne,DVD
93039,L'Ile-Saint-Denis,EELV
93045,Les Lilas,PS
93046,Livry-Gargan,UMP-LR
93047,Montfermeil,UMP-LR
93048,Montreuil,PCF
93049,Neuilly-Plaisance,UMP-LR
93050,Neuilly-sur-Marne,PS
93051,Noisy-le-Grand,PS
93053,Noisy-le-Sec,UDI
93055,Pantin,PS
93057,Les Pavillons-sous-Bois,UMP-LR
93059,Pierrefitte-sur-Seine,PS
93061,Le Pré-Saint-Gervais,PS
93062,Le Raincy,DVD
93063,Romainville,PCF
93064,Rosny-sous-Bois,UMP-LR
93066,Saint-Denis,PCF
93070,Saint-Ouen,UDI
93071,Sevran,PCF
93072,Stains,PCF
93073,Tremblay-en-France,PCF
93074,Vaujours,UDI
93077,Villemomble,UMP-LR
93078,Villepinte,UMP-LR
93079,Villetaneuse,PCF
94001,Ablon-sur-Seine,UDI
94002,Alfortville,PS
94003,Arcueil,EELV
94004,Boissy-Saint-Léger,DVG
94011,Bonneuil-sur-Marne,NA
94015,Bry-sur-Marne,DVD
94016,Cachan,NA
94017,Champigny-sur-Marne,PCF
94018,Charenton-le-Pont,UMP-LR
94019,Chennevières-sur-Marne,NA
94021,Chevilly-Larue,PCF
94022,Choisy-le-Roi,PCF
94028,Créteil,PS
94033,Fontenay-sous-Bois,PCF
94034,Fresnes,PS
94037,Gentilly,PCF
94038,L'Hay-les-Roses,UMP-LR
94041,Ivry-sur-Seine,PCF
94042,Joinville-le-Pont,UMP-LR
94043,Le Kremlin-Bicêtre,DVG
94044,Limeil-Brévannes,UMP-LR
94046,Maisons-Alfort,UMP-LR
94047,Mandres-les-Roses,UMP-LR
94048,Marolles-en-Brie,UMP-LR
94052,Nogent-sur-Marne,UMP-LR
94053,Noiseau,UMP-LR
94054,Orly,DVG
94055,Ormesson-sur-Marne,UMP-LR
94056,Périgny-sur-Yerres,UMP-LR
94058,Le Perreux-sur-Marne,UMP-LR
94059,Le Plessis-Trévise,MoDem
94060,La Queue-en-Brie,UMP-LR
94065,Rungis,DVD
94067,Saint-Mandé,UMP-LR
94068,Saint-Maur-des-Fossés,UMP-LR
94069,Saint-Maurice,UMP-LR
94070,Santeny,DVD
94071,Sucy-en-Brie,UMP-LR
94073,Thiais,UMP-LR
94074,Valenton,PCF
94076,Villejuif,UMP-LR
94077,Villeneuve-le-Roi,UMP-LR
94078,Villeneuve-Saint-Georges,NA
94079,Villiers-sur-Marne,UMP-LR
94080,Vincennes,UDI
94081,Vitry-sur-Seine,PCF
