code,name,party
77101,Châtenay-sur-Seine,NA
77102,Châtenoy,NA
77103,Châtillon-la-Borde,NA
77104,Châtres,NA
77106,Chauffry,DVD
77107,Chaumes-en-Brie,DVG
77108,Chelles,UMP-LR
77109,Chenoise,DVD
77110,Chenou,NA
77111,Chessy,DVD
77112,Chevrainvilliers,NA
77113,Chevru,DVD
77114,Chevry-Cossigny,SE
77115,Chevry-en-Sereine,NA
77116,Choisy-en-Brie,UMP-LR
77117,Citry,NA
77118,Claye-Souilly,UMP-LR
77119,Clos-Fontaine,NA
77120,Cocherel,NA
77121,Collégien,PS
77122,Combs-la-Ville,UMP-LR
77123,Compans,PCF
77124,Conches-sur-Gondoire,UMP-LR
77125,Condé-Sainte-Libiaire,UMP-LR
77126,Congis-sur-Thérouanne,PS
77127,Coubert,DVD
77128,Couilly-Pont-aux-Dames,SE
77129,Coulombs-en-Valois,NA
77130,Coulommes,NA
77131,Coulommiers,UMP-LR
77132,Coupvray,DVD
77133,Courcelles-en-Bassée,NA
77134,Courchamp,NA
77135,Courpalay,NA
77136,Courquetaine,UMP-LR
77137,Courtacon,NA
77138,Courtomer,NA
77139,Courtry,UMP-LR
77140,Coutençon,NA
77141,Coutevroult,SE
77142,Crécy-la-Chapelle,UMP-LR
77143,Crégy-lès-Meaux,PS
77144,Crèvecoeur-en-Brie,NA
77145,Crisenoy,NA
77146,Croissy-Beaubourg,UMP-LR
77147,La Croix-en-Brie,NA
77148,Crouy-sur-Ourcq,DVD
77149,Cucharmoy,NA
77150,Cuisy,NA
77151,Dagny,NA
77152,Dammarie-les-Lys,UMP-LR
77153,Dammartin-en-Goële,UMP-LR
77154,Dammartin-sur-Tigeaux,UMP-LR
77155,Dampmart,UMP-LR
77156,Darvault,NA
77157,Dhuisy,NA
77158,Diant,UMP-LR
77159,Donnemarie-Dontilly,DVG
77161,Dormelles,NA
77162,Doue,DVG
77163,Douy-la-Ramée,NA
77164,Echouboulains,NA
77165,Les Ecrennes,NA
77166,Ecuelles,PS
77167,Egligny,NA
77168,Egreville,DVD
77169,Emerainville,UMP-LR
77170,Episy,NA
77171,Esbly,UMP-LR
77172,Esmans,NA
77173,Etrépilly,NA
77174,Everly,NA
77175,Evry-Grégy-sur-Yerre,UMP-LR
77176,Faremoutiers,UMP-LR
77177,Favières,DVG
77178,Faÿ-lès-Nemours,NA
77179,Féricy,NA
77180,Férolles-Attilly,DVD
77181,Ferrières-en-Brie,UMP-LR
77182,La Ferté-Gaucher,DVD
77183,La Ferté-sous-Jouarre,UMP-LR
77184,Flagy,NA
77185,Fleury-en-Bière,NA
