Geometry X Y;Geometry;AREA;PERIMETER;INSEE;ACT15_19;ACT20_24;ACT25_29;ACT30_34;ACT35_39;ACT40_44;ACT45_49;ACT50_54;ACT55_59;ACT60_64;ACT65PL
48.8819020683, 2.54505824182;"{""type"": ""Polygon"", ""coordinates"": [[[2.546195266165182, 48.898881117651825], [2.547224185910381, 48.88739540240791], [2.559132916670741, 48.88520560340144], [2.571379669211612, 48.879740477925886], [2.567415816802995, 48.8658726124341], [2.557895731612597, 48.8676450230324], [2.552009438955443, 48.87450878377925], [2.53927000832184, 48.869684926647984], [2.530114267989129, 48.874448977382805], [2.518191479336406, 48.89111419101122], [2.53018337124486, 48.892218649479226], [2.532022940110259, 48.89529106655869], [2.538560295251058, 48.89971318199314], [2.546195266165182, 48.898881117651825]]]}";7282627.37516;12933.3057816;93032;387.25;1663.82;2329.12;2407.83;2575.02;2559.71;2527.07;2255.36;1822.14;419.79;83.04
48.8847898637, 2.50889383037;"{""type"": ""Polygon"", ""coordinates"": [[[2.507824614698402, 48.89841432556958], [2.506618700219962, 48.892777635629365], [2.516051614779855, 48.887682312756176], [2.518191479336406, 48.89111419101122], [2.530114267989129, 48.874448977382805], [2.520421561956646, 48.87458185799262], [2.509404142017305, 48.877998296891825], [2.498741057230042, 48.87763619497308], [2.495479429808253, 48.88521270429303], [2.486893970436398, 48.886959912668324], [2.491106121857406, 48.89085717562608], [2.49809986355619, 48.890128095418696], [2.500191304491815, 48.89577260239373], [2.502289889732788, 48.89932174222055], [2.507824614698402, 48.89841432556958]]]}";3837804.94064;10449.8203812;93077;223.54;1193.48;1861.58;1900.44;1828.56;1831.85;1929.86;1658.22;1182.56;302.14;117.88
48.8787422559, 3.24728110756;"{""type"": ""Polygon"", ""coordinates"": [[[3.271644649569726, 48.88629008697214], [3.279711682896169, 48.87805760462702], [3.263114535883843, 48.860314550821684], [3.258818092440065, 48.86088897681862], [3.239073822374702, 48.867971856778624], [3.247003080669941, 48.87442011474924], [3.233512294359338, 48.88159581575212], [3.220026440826267, 48.88389542252791], [3.222986642610254, 48.87478010930936], [3.205227014280643, 48.87820829655945], [3.216669783459925, 48.89224927113867], [3.23133218623268, 48.89077724681], [3.23351306159014, 48.887684370363665], [3.239883405518542, 48.89527855636624], [3.247204284088619, 48.88763889310463], [3.271644649569726, 48.88629008697214]]]}";9330835.00046;17996.23701;77472;7.11;13.33;18.67;28.44;22.22;29.33;33.78;32.0;17.78;5.33;3.56
48.8742626982, 3.16828333985;"{""type"": ""Polygon"", ""coordinates"": [[[3.208683989657077, 48.890287058120634], [3.216669783459925, 48.89224927113867], [3.205227014280643, 48.87820829655945], [3.209598319627055, 48.870908253993605], [3.17615703252133, 48.854773224219876], [3.17349579877563, 48.84807472756282], [3.147337595511195, 48.860917196790616], [3.126837572351828, 48.86432554574271], [3.124656435949623, 48.869475802882135], [3.119328436623531, 48.87828092755994], [3.12354678164301, 48.88119274078751], [3.126928226762654, 48.88289610008355], [3.139853464667801, 48.88616041573187], [3.160665310730557, 48.886263937661376], [3.164870572880022, 48.89311343147335], [3.192095617226068, 48.88924344037521], [3.193217672194439, 48.894208376453655], [3.203505834968821, 48.89444549426836], [3.204142111135039, 48.888702864288234], [3.208683989657077, 48.890287058120634]]]}";20312906.047;21166.7946098;77162;12.0;32.0;47.0;63.0;78.0;88.0;73.0;68.0;55.0;12.0;3.0
48.8781222799, 1.71941930738;"{""type"": ""Polygon"", ""coordinates"": [[[1.722296191710059, 48.88954216516795], [1.748341272631978, 48.87941830869389], [1.753149730946641, 48.87749150536196], [1.739832743785087, 48.871514254410506], [1.731560623361651, 48.87575138223528], [1.72950185198393, 48.87129790016452], [1.724362897344241, 48.874570891380635], [1.701858841505586, 48.865661774990336], [1.698415133347918, 48.86845739119732], [1.689933046943725, 48.872879180689026], [1.717304317076186, 48.890675299833006], [1.722296191710059, 48.88954216516795]]]}";5954100.39827;11945.7966979;78565;2.04;6.13;5.11;12.26;20.44;24.53;25.55;20.44;13.29;3.07;2.04
48.8818834916, 2.41965985932;"{""type"": ""Polygon"", ""coordinates"": [[[2.429795223781817, 48.878315643643596], [2.420864354855341, 48.87802580453152], [2.413358046812434, 48.87310305062861], [2.410693922582778, 48.87842851732709], [2.411437383879795, 48.88324815093778], [2.42440487116821, 48.89106264851032], [2.429795223781817, 48.878315643643596]]]}";1464680.63642;5354.1470328;93045;159.3;754.22;1511.25;1686.3;1640.24;1395.31;1373.55;1470.02;1162.45;316.06;113.2
48.8786624111, 2.1355648163;"{""type"": ""Polygon"", ""coordinates"": [[[2.144957484579857, 48.88339951877091], [2.158398617891779, 48.880597585472685], [2.150336247887393, 48.870818517504574], [2.131019852587228, 48.870731357799], [2.124010018164926, 48.87459439930404], [2.1197685542969, 48.878066627879946], [2.110644632252623, 48.88763524799797], [2.118185841343097, 48.89071648718708], [2.129920973555766, 48.87599915308632], [2.134927451984333, 48.88533365522614], [2.144957484579857, 48.88339951877091]]]}";3558919.45636;10478.2197774;78190;43.91;239.82;435.73;498.52;621.5;720.58;735.22;578.72;511.16;194.78;58.42
48.8758387886, 2.36052625067;"{""type"": ""Polygon"", ""coordinates"": [[[2.377025928087212, 48.872024577424774], [2.363786370426746, 48.86746918938617], [2.354217887139856, 48.86925164252325], [2.347824961848307, 48.870790217946855], [2.349600409713865, 48.88372160095692], [2.364749968905744, 48.88434834637058], [2.377025928087212, 48.872024577424774]]]}";2813107.30328;6520.5779911;75110;572.73;4756.26;10094.3;9641.98;8613.6;6929.03;5918.32;5022.33;4154.27;2104.81;575.72
48.863539677, 2.02022361301;"{""type"": ""Polygon"", ""coordinates"": [[[2.037121229710958, 48.877564777920405], [2.046900391428997, 48.8746224021192], [2.03632139069078, 48.86779645459063], [2.0439382349283, 48.86369753916635], [2.036219943749686, 48.8462673399395], [2.022718831933919, 48.84168058848808], [2.018455341835309, 48.84673884706799], [2.011340490606368, 48.85240413173855], [1.990593096770733, 48.859249576904325], [1.99328458144045, 48.86224333942563], [1.998122426706366, 48.876349600738635], [2.01566135030808, 48.87754238673977], [2.020455415296458, 48.882627738330726], [2.037121229710958, 48.877564777920405]]]}";10940912.9727;14192.4701692;78571;20.0;85.0;113.0;133.0;291.0;359.0;352.0;302.0;260.0;147.0;35.0
48.8606338115, 2.26229618919;"{""type"": ""Polygon"", ""coordinates"": [[[2.279887137587949, 48.87863639798924], [2.295025171250062, 48.87391273748803], [2.301876283285124, 48.86349242885414], [2.289764102493836, 48.85822733334738], [2.262570486044123, 48.83382454167461], [2.251814544960498, 48.838601185803185], [2.252661051561589, 48.84554422493363], [2.223948129352328, 48.85355899098644], [2.225652162523127, 48.859378985938534], [2.232744900422886, 48.86969138200793], [2.245601106959835, 48.8763570123983], [2.254875740068758, 48.874088864509126], [2.258778716098022, 48.880260630648685], [2.279887137587949, 48.87863639798924]]]}";16549095.6581;17083.1338202;75116;693.38;5312.26;9466.9;8917.19;10151.13;9802.03;9877.24;9024.85;8801.06;5661.11;2936.16
48.8542769415, 1.87073945721;"{""type"": ""Polygon"", ""coordinates"": [[[1.883042024381382, 48.8745832888635], [1.913139783247387, 48.86074195608981], [1.9069217552705, 48.84847936615718], [1.904420690578376, 48.84463894085578], [1.893458592387622, 48.84700697901325], [1.882002886898904, 48.83470456368389], [1.875030648848445, 48.83444274651308], [1.865893067388163, 48.8312488884984], [1.853239863253937, 48.83533271555388], [1.847914969472443, 48.833790221694926], [1.847030712529373, 48.828138868386645], [1.84147946680257, 48.828906283700185], [1.839098470136898, 48.830002054299506], [1.841774674659982, 48.844402395014974], [1.847915810091382, 48.85032823074057], [1.836963232093617, 48.85677369934554], [1.837951445749726, 48.87101385167679], [1.858710478455134, 48.87133647742244], [1.872578689655285, 48.87674449454331], [1.874688357223913, 48.87713075483088], [1.883042024381382, 48.8745832888635]]]}";19379979.1987;19653.6649674;78062;111.11;342.25;404.44;420.14;534.23;616.01;616.16;472.52;308.58;95.56;14.93
